email,phone_number,age,age_group,credit_score,family_background,income,intent,comments
wrightvincent@example.net,+91 6715325981,45,36-45,811,Married with Children,2183423.66,High,"Budget approved by management, ready to proceed"
sarah00@example.com,+91 6177038495,26,26-35,720,Married with Children,1651512.22,High,"Attended your webinar, convinced about the value proposition"
jacquelinemoody@example.org,+91 8057006612,22,18-25,638,Single,494101.23,Low,Waiting for next quarter budget allocation to decide
jhall@example.net,+91 9885207926,61,56-65,759,Divorced,1227178.91,High,"Very interested in premium products, please schedule a demo"
linda73@example.org,+91 6848986703,39,36-45,628,Married with Children,1325546.43,Low,"Just browsing for now, collecting information for future"
ihoward@example.com,+91 8463855299,31,26-35,689,Single,902770.24,High,Comparing different premium options but leaning towards your product
washingtonsamuel@example.com,+91 9520339175,46,46-55,634,Married with Children,967925.8,High,"Budget approved by management, ready to proceed"
llopez@example.net,+91 9313830004,51,46-55,820,Married with Children,2604737.28,High,"ROI calculations look promising, let's move forward"
mario74@example.net,+91 8493084116,40,36-45,748,Single Parent,394275.89,Low,Need references from similar companies in our industry
caseymoore@example.com,+91 7576818326,40,36-45,678,Single Parent,417831.35,Low,"Considering options carefully, need more technical details"
amber70@example.net,+91 9267241993,53,46-55,759,Married with Children,1569067.48,High,"My colleague recommended your service, very interested"
bgross@example.net,+91 6188158316,41,36-45,669,Married with Children,1963916.04,High,"Looking for long-term partnership, not just one-time purchase"
kimberly35@example.net,+91 6211477413,41,36-45,596,Married with Children,848777.81,Low,Need references from similar companies in our industry
barrettamber@example.com,+91 9623638600,44,36-45,820,Married with Children,1800638.76,High,"Budget approved by management, ready to proceed"
alexandriajimenez@example.net,+91 7557800533,48,46-55,744,Married with Children,1281138.15,High,"Very interested in premium products, please schedule a demo"
chloemorris@example.net,+91 7502436527,27,26-35,820,Married with Children,1751368.16,High,"Need urgent solution for my project, can we fast-track this?"
daniel81@example.org,+91 7557496289,41,36-45,820,Married with Children,2688464.11,High,"ROI calculations look promising, let's move forward"
gregoryjohnson@example.org,+91 8726343863,53,46-55,762,Single Parent,1094466.45,Low,Need references from similar companies in our industry
clee@example.net,+91 6882881410,22,18-25,692,Single,501232.91,Low,"Student/researcher, mainly interested in learning"
hbarrett@example.net,+91 9426278126,32,26-35,710,Married,1220761.86,Low,"Looking for good value deals, can you provide better pricing?"
brandon39@example.net,+91 8021414436,27,26-35,574,Married,1129888.53,Low,Might purchase in the next few months if budget allows
smithsamantha@example.net,+91 9208765968,35,26-35,701,Single,879863.38,Low,"Timing is not right, maybe next year"
fhebert@example.com,+91 6791331721,18,18-25,719,Married,489098.81,Low,"Not ready to make a decision, still in research phase"
wardjulia@example.com,+91 8423262931,36,36-45,763,Married with Children,1930189.37,High,"ROI calculations look promising, let's move forward"
laura091@example.com,+91 7052656402,38,36-45,780,Married,1866996.5,High,"ROI calculations look promising, let's move forward"
navarromary@example.org,+91 9722356036,27,26-35,735,Married with Children,1069181.56,Low,Boss asked me to research but no immediate plans
susandavis@example.net,+91 8885202914,46,46-55,450,Single Parent,1107735.65,High,"ROI calculations look promising, let's move forward"
amandalopez@example.net,+91 9762105824,34,26-35,776,Married with Children,1617796.12,High,"Budget approved by management, ready to proceed"
ashleymeza@example.net,+91 7564811333,50,46-55,820,Married with Children,2945804.13,High,Ready to make a purchase decision within this week
xreese@example.net,+91 6970125338,27,26-35,673,Married with Children,647318.18,Low,"Part of market research, not actively buying"
emily61@example.org,+91 7205485400,52,46-55,807,Single Parent,1421251.15,High,"Current solution is not meeting our needs, exploring alternatives"
andreawagner@example.net,+91 6774316428,24,18-25,674,Single,480761.18,Low,"Looking for basic options only, nothing too complex"
amandagreene@example.com,+91 7703493718,22,18-25,719,Married,1151123.82,High,Expansion plans require robust solution like yours
andrea55@example.com,+91 7769367552,47,46-55,717,Married with Children,2166589.03,High,"My colleague recommended your service, very interested"
umckenzie@example.net,+91 7070323688,55,46-55,783,Married with Children,2895916.8,High,"My colleague recommended your service, very interested"
annalewis@example.net,+91 6500697768,22,18-25,643,Single,590275.75,Low,Will consider in the future when business grows
michael77@example.com,+91 8231634158,53,46-55,768,Married with Children,2223924.13,High,"Need urgent solution for my project, can we fast-track this?"
barbertonya@example.net,+91 7052382111,52,46-55,820,Married with Children,2294861.07,High,Expansion plans require robust solution like yours
holmesvictoria@example.com,+91 7859599589,36,36-45,751,Married with Children,2046273.75,High,Expansion plans require robust solution like yours
evansjeffrey@example.com,+91 8210892839,32,26-35,697,Married,1060875.34,High,"Impressed with your product features, let's discuss pricing"
ingramsherry@example.com,+91 7226968569,47,46-55,820,Married,1962933.4,High,"Attended your webinar, convinced about the value proposition"
clintonstevens@example.org,+91 7065512321,61,56-65,780,Married,1439312.96,High,"Willing to pay for quality service, budget is not a constraint"
josephpreston@example.org,+91 8561957513,24,18-25,691,Married,645621.73,Low,Boss asked me to research but no immediate plans
jonathanevans@example.net,+91 9475434302,52,46-55,746,Single Parent,889016.36,Low,"Part of market research, not actively buying"
ncarroll@example.net,+91 9614381666,27,26-35,731,Single,1018760.44,High,"Had a great experience with your competitor, want to switch"
cummingslaura@example.org,+91 6437709120,65,56-65,791,Married,2025970.71,High,"Very interested in premium products, please schedule a demo"
spetersen@example.net,+91 7364171714,63,56-65,820,Married,1934812.44,High,Ready to make a purchase decision within this week
larsonkevin@example.net,+91 6393576334,36,36-45,711,Married,1839264.23,High,Comparing different premium options but leaning towards your product
dmiller@example.com,+91 6445641130,46,46-55,723,Married with Children,1360031.67,Low,"Heard about your company, wanted to check what you offer"
nichole66@example.org,+91 8475301532,27,26-35,654,Married,522098.9,Low,"Current solution works fine, just checking alternatives"
julieatkinson@example.org,+91 6229194351,52,46-55,773,Married,865150.62,Low,Economic uncertainty makes us cautious about new purchases
hbrown@example.org,+91 6337231583,39,36-45,672,Divorced,885727.26,High,"Budget approved by management, ready to proceed"
amber25@example.net,+91 9214194957,48,46-55,733,Single Parent,1462522.9,High,"ROI calculations look promising, let's move forward"
ericnunez@example.com,+91 6803969272,37,36-45,656,Married with Children,1323891.13,High,"Had a great experience with your competitor, want to switch"
kmullins@example.net,+91 9100616039,59,56-65,799,Single,1140825.24,High,"Very interested in premium products, please schedule a demo"
walkerkeith@example.com,+91 8117850067,49,46-55,780,Single Parent,1235098.2,High,"Budget approved by management, ready to proceed"
davidmiller@example.net,+91 9437690513,61,56-65,768,Divorced,466065.36,Low,Impressed by features but implementation seems complex
kelleyjose@example.com,+91 6629546921,29,26-35,685,Single,973373.67,High,"Need urgent solution for my project, can we fast-track this?"
iayala@example.org,+91 8625759248,31,26-35,641,Married,597640.07,High,"Looking for long-term partnership, not just one-time purchase"
fhansen@example.com,+91 7834120311,47,46-55,750,Divorced,518472.04,High,"Very interested in premium products, please schedule a demo"
annshea@example.net,+91 7796893446,43,36-45,724,Married with Children,1352945.55,Low,"Heard about your company, wanted to check what you offer"
johnadams@example.com,+91 8860828387,21,18-25,629,Single,434828.04,Low,Might purchase in the next few months if budget allows
gail91@example.org,+91 9524775440,24,18-25,658,Single,739884.05,Low,Need to understand if this is really necessary for us
whenderson@example.org,+91 9083658164,18,18-25,654,Single,411589.78,Low,Budget constraints prevent immediate purchase
melvin04@example.org,+91 8853663187,50,46-55,808,Single Parent,1652224.89,High,Comparing different premium options but leaning towards your product
christina79@example.org,+91 7599759326,24,18-25,597,Married,323810.11,Low,"Too many features, looking for something simpler"
owilliams@example.org,+91 9360654079,36,36-45,692,Married with Children,734649.09,Low,Budget constraints prevent immediate purchase
eric11@example.net,+91 6717194304,47,46-55,736,Single Parent,1355958.86,Low,"Looking for good value deals, can you provide better pricing?"
sanchezchristine@example.org,+91 8481317084,28,26-35,718,Married with Children,916803.69,High,"Attended your webinar, convinced about the value proposition"
alexander14@example.com,+91 7184405756,19,18-25,696,Married,1069388.21,Low,Economic uncertainty makes us cautious about new purchases
njohnson@example.net,+91 8878697708,32,26-35,537,Single,802338.4,Low,"Not ready to make a decision, still in research phase"
jamesmills@example.com,+91 7072915331,61,56-65,762,Single,705792.54,High,Comparing different premium options but leaning towards your product
jdean@example.net,+91 9928056939,44,36-45,745,Married,1185949.48,High,"Looking for long-term partnership, not just one-time purchase"
bennettrebecca@example.net,+91 6606496875,39,36-45,746,Married with Children,2557727.54,High,"Need urgent solution for my project, can we fast-track this?"
scottbrian@example.org,+91 7029460842,25,18-25,663,Single,621157.13,Low,"Timing is not right, maybe next year"
brian01@example.com,+91 6004298460,76,65+,820,Married,1157619.78,High,"Looking for long-term partnership, not just one-time purchase"
elizabeth51@example.org,+91 8821332143,43,36-45,820,Married with Children,2566056.76,High,"Impressed with your product features, let's discuss pricing"
michelle63@example.com,+91 9417499263,55,46-55,820,Married with Children,2992003.68,High,"Looking for long-term partnership, not just one-time purchase"
mckeetodd@example.net,+91 6175031685,46,46-55,820,Married with Children,2377383.54,High,"Willing to pay for quality service, budget is not a constraint"
lopezvincent@example.com,+91 8374047312,18,18-25,582,Single,383444.9,Low,"Small business, concerned about ongoing costs"
williamssandra@example.com,+91 7669169926,63,56-65,775,Single,1105758.71,High,"Budget approved by management, ready to proceed"
tracy20@example.com,+91 9101694821,19,18-25,599,Single,300000.0,Low,Need to focus on core business first before expanding
michael431@example.net,+91 7339918977,41,36-45,820,Married with Children,2477563.49,High,"Willing to pay for quality service, budget is not a constraint"
lisa461@example.org,+91 7417247884,52,46-55,820,Married,1821105.52,High,"Budget approved by management, ready to proceed"
jeremiah56@example.net,+91 8724155770,45,36-45,796,Married with Children,2298045.4,High,"Impressed with your product features, let's discuss pricing"
christopherreyes@example.net,+91 7752749465,20,18-25,570,Single,468433.59,Low,Waiting for next quarter budget allocation to decide
robertberry@example.com,+91 9717416620,59,56-65,693,Divorced,1151875.31,High,"ROI calculations look promising, let's move forward"
renee57@example.net,+91 8296556722,53,46-55,820,Married with Children,3087458.39,High,"Attended your webinar, convinced about the value proposition"
jamietaylor@example.net,+91 7512513545,33,26-35,631,Married,1212103.48,Low,"Just browsing for now, collecting information for future"
michelleparker@example.net,+91 7006051552,49,46-55,717,Married,859807.16,Low,"Student/researcher, mainly interested in learning"
russellstout@example.org,+91 8761725965,83,65+,799,Married,1379787.78,High,Comparing different premium options but leaning towards your product
lonniegrant@example.net,+91 7133366661,27,26-35,726,Married,792590.85,High,"Budget approved by management, ready to proceed"
whitemary@example.org,+91 9760885624,36,36-45,678,Single Parent,782776.31,Low,Need references from similar companies in our industry
cannonnicole@example.com,+91 6771694820,72,65+,764,Married,595043.08,Low,"Student/researcher, mainly interested in learning"
vturner@example.net,+91 7244914849,31,26-35,678,Married,708657.85,High,"Need urgent solution for my project, can we fast-track this?"
edwin31@example.org,+91 9968711699,44,36-45,741,Married with Children,1265182.8,High,"Willing to pay for quality service, budget is not a constraint"
anthonyodom@example.net,+91 9609851262,50,46-55,820,Married with Children,2831895.74,High,"My colleague recommended your service, very interested"
catherine93@example.net,+91 6084318584,40,36-45,689,Married,1818264.25,High,"ROI calculations look promising, let's move forward"
jerryjohnson@example.org,+91 7155740780,51,46-55,745,Married with Children,1443451.0,High,"Current solution is not meeting our needs, exploring alternatives"
manderson@example.com,+91 8528342766,58,56-65,753,Married,1556230.9,High,"Very interested in premium products, please schedule a demo"
jack67@example.com,+91 7251966208,19,18-25,677,Single,565134.06,Low,Need references from similar companies in our industry
frankperez@example.com,+91 8429710439,54,46-55,752,Married with Children,1254430.73,High,"ROI calculations look promising, let's move forward"
schaeferstephanie@example.org,+91 8118512011,42,36-45,820,Married,1757831.62,High,Expansion plans require robust solution like yours
katherinejones@example.com,+91 6867442502,24,18-25,543,Single,300000.0,Low,Comparing features and prices with 2-3 other vendors
dwatts@example.org,+91 7272820131,59,56-65,711,Divorced,912545.99,High,"Current solution is not meeting our needs, exploring alternatives"
csullivan@example.net,+91 9633844602,55,46-55,747,Single Parent,1557643.36,High,"Budget approved by management, ready to proceed"
zcortez@example.net,+91 9522238333,37,36-45,820,Married with Children,2606553.08,High,"Very interested in premium products, please schedule a demo"
meyershannon@example.org,+91 8008759553,28,26-35,601,Married,722902.42,Low,"Considering options carefully, need more technical details"
aprilfoster@example.net,+91 8023930989,49,46-55,699,Single Parent,1271857.59,High,"Had a great experience with your competitor, want to switch"
grantzachary@example.net,+91 9470302604,18,18-25,566,Single,396396.89,Low,"Small business, concerned about ongoing costs"
leescott@example.com,+91 8586052709,48,46-55,760,Married with Children,1629987.21,High,"ROI calculations look promising, let's move forward"
steven64@example.net,+91 7102861012,23,18-25,617,Single,300000.0,Low,"Price is a major concern, looking for budget-friendly options"
vaughnrebecca@example.com,+91 6882812537,31,26-35,675,Married with Children,861838.64,High,"Had a great experience with your competitor, want to switch"
gdavis@example.org,+91 9688364639,82,65+,787,Divorced,1243045.84,High,Comparing different premium options but leaning towards your product
kimberlypace@example.net,+91 9217174740,20,18-25,607,Single,306879.5,Low,Will consider in the future when business grows
phillipmorris@example.org,+91 8967385044,51,46-55,754,Married,1778830.35,High,"Willing to pay for quality service, budget is not a constraint"
shawnmosley@example.org,+91 9562902807,58,56-65,820,Divorced,1044121.25,High,"Looking for long-term partnership, not just one-time purchase"
udavis@example.net,+91 7838164773,43,36-45,780,Married with Children,874680.43,High,"Had a great experience with your competitor, want to switch"
jennifermartinez@example.org,+91 6340678289,31,26-35,602,Single,347232.23,Low,"Looking for good value deals, can you provide better pricing?"
fwalters@example.net,+91 8643700512,47,46-55,764,Divorced,775139.42,Low,"Considering options carefully, need more technical details"
gacosta@example.net,+91 8541975204,27,26-35,664,Single,655404.06,Low,Interested but needs approval from my manager first
nicholasjames@example.org,+91 8091621577,27,26-35,666,Married,891327.93,Low,"Timing is not right, maybe next year"
ariana22@example.org,+91 9844660476,53,46-55,820,Married,2323792.81,High,Ready to make a purchase decision within this week
kaylawilliams@example.com,+91 7267280226,40,36-45,766,Married,1037062.53,High,"Need urgent solution for my project, can we fast-track this?"
jessica74@example.net,+91 7934742155,59,56-65,735,Married,1099991.31,High,"Attended your webinar, convinced about the value proposition"
davidanderson@example.org,+91 9406929935,39,36-45,756,Married with Children,1284686.94,High,Ready to make a purchase decision within this week
deanjohnny@example.com,+91 8547885338,44,36-45,820,Married with Children,2426040.51,High,Expansion plans require robust solution like yours
ifoley@example.org,+91 9195867182,42,36-45,773,Married with Children,2348839.77,High,"Impressed with your product features, let's discuss pricing"
lyoung@example.net,+91 8490120884,40,36-45,764,Single Parent,1103472.13,High,"Impressed with your product features, let's discuss pricing"
cchavez@example.org,+91 8845748372,53,46-55,750,Divorced,1061335.2,High,"Attended your webinar, convinced about the value proposition"
sanchezamy@example.net,+91 9225500568,45,36-45,710,Single Parent,641625.44,Low,"Too many features, looking for something simpler"
brandonhernandez@example.net,+91 7046211042,24,18-25,660,Single,337615.45,Low,"Heard about your company, wanted to check what you offer"
benjamin09@example.net,+91 6122934507,34,26-35,690,Married,1361515.27,Low,Interested but needs approval from my manager first
mark10@example.org,+91 9418336995,31,26-35,722,Single,376362.64,Low,"Evaluating multiple solutions, yours is in top 3 contenders"
kchaney@example.net,+91 8350151339,45,36-45,753,Married,1739056.16,High,Ready to make a purchase decision within this week
cheryl99@example.net,+91 9253737324,40,36-45,788,Married with Children,2589907.44,High,"My colleague recommended your service, very interested"
tammycurry@example.com,+91 9926583357,53,46-55,820,Single Parent,1616136.58,High,"Attended your webinar, convinced about the value proposition"
daviskevin@example.com,+91 7197572051,18,18-25,589,Single,603932.03,Low,"Looking for basic options only, nothing too complex"
wwilkins@example.com,+91 9123627791,26,26-35,572,Single,477401.27,Low,"Current solution works fine, just checking alternatives"
carterdennis@example.net,+91 9132172894,21,18-25,593,Single,739638.23,Low,"Considering options carefully, need more technical details"
mark68@example.org,+91 9740940305,21,18-25,706,Single,718402.78,Low,Boss asked me to research but no immediate plans
cherylrodriguez@example.net,+91 8699746135,30,26-35,766,Married with Children,1607208.95,High,"Very interested in premium products, please schedule a demo"
webbhaley@example.net,+91 6539801201,45,36-45,802,Single Parent,652833.65,Low,Need references from similar companies in our industry
ronald54@example.net,+91 7818228676,69,65+,678,Married,871886.02,High,"Had a great experience with your competitor, want to switch"
sara99@example.com,+91 8071474250,24,18-25,750,Single,700582.87,Low,"Timeline is flexible, but quality is most important factor"
lvasquez@example.net,+91 7096111463,39,36-45,780,Married with Children,2677612.41,High,Ready to make a purchase decision within this week
jeanettekrause@example.org,+91 8683300268,51,46-55,820,Married with Children,1902097.44,High,Ready to make a purchase decision within this week
johnsoncolleen@example.org,+91 7857980048,37,36-45,671,Single Parent,560154.01,High,"ROI calculations look promising, let's move forward"
laurenduarte@example.com,+91 7370049812,30,26-35,761,Single,945111.08,Low,"Part of market research, not actively buying"
cookann@example.net,+91 7121008349,42,36-45,639,Single Parent,482839.28,High,"Very interested in premium products, please schedule a demo"
alexharris@example.com,+91 9362844282,54,46-55,744,Married with Children,1539855.32,High,"Current solution is not meeting our needs, exploring alternatives"
kristy44@example.net,+91 8958792565,54,46-55,820,Married with Children,2503939.69,High,Ready to make a purchase decision within this week
katie15@example.com,+91 8889578254,66,65+,812,Married,1482899.41,High,Expansion plans require robust solution like yours
nramsey@example.org,+91 6396309009,34,26-35,714,Married,954662.72,High,"Willing to pay for quality service, budget is not a constraint"
jamesbass@example.net,+91 6501337835,76,65+,752,Single,414034.51,High,"My colleague recommended your service, very interested"
zhendricks@example.org,+91 8660147562,20,18-25,666,Single,367706.04,Low,Budget constraints prevent immediate purchase
timothyburton@example.net,+91 8663932964,21,18-25,506,Single,530994.13,Low,"Looking for good value deals, can you provide better pricing?"
steven60@example.net,+91 6693533586,31,26-35,665,Married with Children,1270508.37,High,"Very interested in premium products, please schedule a demo"
annette58@example.net,+91 8800471350,21,18-25,609,Single,439987.41,Low,Comparing features and prices with 2-3 other vendors
clarkgina@example.com,+91 8215470926,35,26-35,636,Married,548203.84,High,"Impressed with your product features, let's discuss pricing"
montesjuan@example.org,+91 7614882216,60,56-65,647,Married,993152.11,Low,Might purchase in the next few months if budget allows
tonya82@example.net,+91 9512857416,57,56-65,546,Divorced,594932.81,High,"Budget approved by management, ready to proceed"
hlopez@example.com,+91 7033751439,25,18-25,577,Single,340520.15,Low,"Just browsing for now, collecting information for future"
jennifer46@example.org,+91 7935148720,25,18-25,656,Married,913775.34,Low,Interested but needs approval from my manager first
xwiley@example.com,+91 7811483513,64,56-65,739,Married,1666164.27,High,"Very interested in premium products, please schedule a demo"
javier42@example.org,+91 9219376870,57,56-65,820,Divorced,1597942.95,High,"ROI calculations look promising, let's move forward"
kristen31@example.com,+91 6258041634,20,18-25,714,Single,769781.79,High,"Attended your webinar, convinced about the value proposition"
lloydrebecca@example.org,+91 6750369438,58,56-65,782,Married,2224095.37,High,Expansion plans require robust solution like yours
matthewwebb@example.net,+91 8596868987,38,36-45,763,Married,1409711.87,Low,"Timing is not right, maybe next year"
kimberly21@example.net,+91 8070314533,21,18-25,695,Married,659615.64,Low,"Price is a major concern, looking for budget-friendly options"
jamiejohnson@example.com,+91 6502664264,51,46-55,650,Single Parent,782831.45,Low,Will consider in the future when business grows
smithsarah1@example.net,+91 7009839071,66,65+,756,Married,1087807.56,High,"ROI calculations look promising, let's move forward"
cookpamela@example.org,+91 8059966765,43,36-45,653,Single Parent,416862.87,Low,"Currently happy with existing solution, just exploring"
andrew43@example.com,+91 9729544486,24,18-25,695,Single,300000.0,Low,"Timing is not right, maybe next year"
jameshill@example.com,+91 7105134690,30,26-35,647,Married with Children,975495.22,High,"Willing to pay for quality service, budget is not a constraint"
rlambert@example.org,+91 7442447674,57,56-65,820,Married,2210701.87,High,"My colleague recommended your service, very interested"
joshuasmith@example.net,+91 6550426854,54,46-55,705,Married with Children,1553851.94,High,Ready to make a purchase decision within this week
clarkmichael@example.com,+91 9817846507,56,56-65,695,Single,930238.03,High,"My colleague recommended your service, very interested"
donald49@example.org,+91 7585661753,52,46-55,719,Married with Children,1035817.9,High,"Looking for long-term partnership, not just one-time purchase"
charlesaustin@example.com,+91 9853078449,33,26-35,717,Single,813562.31,High,"Current solution is not meeting our needs, exploring alternatives"
bwilliams@example.com,+91 6594678892,26,26-35,755,Married with Children,1095031.27,High,Looking for high-quality solutions for my business needs
rodriguezbrian@example.com,+91 9420626131,53,46-55,820,Married with Children,2286905.82,High,"Looking for long-term partnership, not just one-time purchase"
mwhite@example.net,+91 8483948344,40,36-45,804,Married with Children,1958832.96,High,"ROI calculations look promising, let's move forward"
tjensen@example.com,+91 7629153452,38,36-45,738,Married with Children,1670971.86,High,"Looking for long-term partnership, not just one-time purchase"
jenniferlambert@example.net,+91 8912001287,54,46-55,820,Single Parent,1591873.38,High,"Very interested in premium products, please schedule a demo"
beltrankatelyn@example.com,+91 8321170785,42,36-45,659,Married with Children,1477378.16,High,"My colleague recommended your service, very interested"
christopherlang@example.net,+91 7110871143,63,56-65,820,Married,1247100.39,High,"Budget approved by management, ready to proceed"
tdavis@example.net,+91 6217217748,50,46-55,730,Single Parent,682475.75,Low,"Part of market research, not actively buying"
oruiz@example.org,+91 6054128260,53,46-55,820,Married with Children,2186080.2,High,Looking for high-quality solutions for my business needs
roberta62@example.net,+91 7823617974,26,26-35,671,Married,564497.56,Low,"Looking for good value deals, can you provide better pricing?"
kristina57@example.com,+91 8691111361,52,46-55,699,Single Parent,1018858.67,High,"Current solution is not meeting our needs, exploring alternatives"
jonesdaniel@example.com,+91 8510933548,45,36-45,744,Married,1241550.67,Low,"Evaluating multiple solutions, yours is in top 3 contenders"
ssingleton@example.com,+91 8192486231,31,26-35,577,Single,567294.07,Low,Interested but needs approval from my manager first
williamsullivan@example.net,+91 7912942447,53,46-55,689,Married with Children,1060055.37,High,Expansion plans require robust solution like yours
nguyendebra@example.com,+91 9528726417,49,46-55,779,Married,2625621.27,High,"Need urgent solution for my project, can we fast-track this?"
amorales@example.org,+91 7192479718,39,36-45,766,Married with Children,2641564.44,High,Comparing different premium options but leaning towards your product
amydickson@example.com,+91 8866739540,44,36-45,820,Married with Children,1327823.67,High,Expansion plans require robust solution like yours
petersonlisa@example.net,+91 8340369699,31,26-35,647,Married with Children,759663.83,Low,Product looks good but need to understand implementation process
bmueller@example.net,+91 8927411369,57,56-65,799,Married,2113968.57,High,"My colleague recommended your service, very interested"
amy32@example.net,+91 6282924580,49,46-55,725,Single Parent,582911.61,High,Expansion plans require robust solution like yours
stevensonjennifer@example.com,+91 8128521494,72,65+,815,Divorced,482651.57,Low,"Timeline is flexible, but quality is most important factor"
vargassteven@example.net,+91 8679034402,78,65+,820,Married,1808258.26,High,"Very interested in premium products, please schedule a demo"
shortgregory@example.com,+91 6838856042,31,26-35,633,Married with Children,732814.17,Low,"Not the decision maker, just gathering information"
georgegina@example.net,+91 8351263968,40,36-45,789,Married with Children,1702822.12,High,"My colleague recommended your service, very interested"
pmurphy@example.net,+91 7127503420,44,36-45,717,Single Parent,1144579.14,High,"Very interested in premium products, please schedule a demo"
davislisa@example.net,+91 6493849138,63,56-65,671,Single,1178248.5,Low,"Current solution works fine, just checking alternatives"
shermandonna@example.com,+91 9004505439,18,18-25,669,Married,943245.05,Low,"Part of market research, not actively buying"
peter97@example.org,+91 9037249448,33,26-35,725,Married with Children,1399378.12,Low,"Price is a major concern, looking for budget-friendly options"
erinstewart@example.net,+91 8592388946,32,26-35,820,Single,971502.24,Low,Need to understand if this is really necessary for us
samantha65@example.org,+91 7599520694,65,56-65,777,Married,1831546.54,High,"ROI calculations look promising, let's move forward"
carrwilliam@example.org,+91 6128737825,42,36-45,820,Married with Children,1829984.18,High,Looking for high-quality solutions for my business needs
bryan80@example.org,+91 9133460938,33,26-35,619,Single,777009.61,High,"Current solution is not meeting our needs, exploring alternatives"
daniel40@example.org,+91 7512026437,18,18-25,681,Single,799458.45,Low,Boss asked me to research but no immediate plans
zpark@example.net,+91 7214752879,57,56-65,766,Divorced,1530450.6,High,"Attended your webinar, convinced about the value proposition"
jennifer66@example.com,+91 7186646894,58,56-65,450,Married,762371.89,Low,Might purchase in the next few months if budget allows
elainewells@example.org,+91 7983408882,19,18-25,720,Married,1036862.96,Low,"Student/researcher, mainly interested in learning"
xbridges@example.com,+91 6982137590,40,36-45,792,Married with Children,1494801.81,High,Comparing different premium options but leaning towards your product
keithsalas@example.org,+91 8151303671,32,26-35,692,Single,558605.84,Low,Economic uncertainty makes us cautious about new purchases
alexanderwong@example.org,+91 9802130033,43,36-45,753,Married with Children,1949865.89,High,"Looking for long-term partnership, not just one-time purchase"
ibarrett@example.org,+91 9068380853,30,26-35,745,Single,1057090.61,High,Looking for high-quality solutions for my business needs
dawnperry@example.com,+91 9938337742,54,46-55,710,Single Parent,505847.38,Low,"Looking for good value deals, can you provide better pricing?"
dhanson@example.net,+91 8483267474,40,36-45,793,Married with Children,1996499.5,High,"Current solution is not meeting our needs, exploring alternatives"
carnold@example.com,+91 8305036573,25,18-25,675,Single,477969.81,Low,"Just browsing for now, collecting information for future"
jeremiah69@example.org,+91 9831512630,23,18-25,584,Single,424538.49,Low,Will consider in the future when business grows
pbradford@example.net,+91 6446690804,53,46-55,820,Married with Children,2437499.83,High,"Attended your webinar, convinced about the value proposition"
robert89@example.com,+91 7002454481,46,46-55,820,Married,1438116.92,High,"Had a great experience with your competitor, want to switch"
goodashley@example.net,+91 8032023451,60,56-65,820,Married,1788386.46,High,Looking for high-quality solutions for my business needs
daniel71@example.org,+91 6841932609,21,18-25,591,Single,576111.96,Low,Economic uncertainty makes us cautious about new purchases
steven18@example.net,+91 9318962600,39,36-45,819,Married with Children,1330595.78,High,Ready to make a purchase decision within this week
sanchezcrystal@example.net,+91 8213328545,33,26-35,626,Married with Children,617280.89,Low,Will consider in the future when business grows
suttonamber@example.net,+91 9377023147,44,36-45,677,Divorced,992651.42,High,"Willing to pay for quality service, budget is not a constraint"
chloe58@example.org,+91 9029743542,40,36-45,820,Married with Children,2284929.09,High,"Budget approved by management, ready to proceed"
egibson@example.net,+91 6782642496,43,36-45,820,Married with Children,2175291.09,High,"Need urgent solution for my project, can we fast-track this?"
robert44@example.org,+91 8883469697,34,26-35,689,Single,725052.68,Low,"Looking for good value deals, can you provide better pricing?"
nealcarla@example.com,+91 9001083646,52,46-55,808,Divorced,1517633.09,High,"Need urgent solution for my project, can we fast-track this?"
bryan79@example.org,+91 8680258427,50,46-55,790,Married,2362553.43,High,"Willing to pay for quality service, budget is not a constraint"
douglaskelly@example.net,+91 7155787025,51,46-55,820,Married with Children,2429485.41,High,Comparing different premium options but leaning towards your product
mitchellchristopher@example.net,+91 6913361666,23,18-25,670,Single,683013.63,Low,Product looks good but need to understand implementation process
yorkjoshua@example.org,+91 8998427266,36,36-45,820,Married with Children,2542815.52,High,"Impressed with your product features, let's discuss pricing"
joshua40@example.net,+91 8029263259,40,36-45,771,Single Parent,779717.01,Low,Impressed by features but implementation seems complex
munozrenee@example.net,+91 9346368243,18,18-25,617,Single,300000.0,Low,Boss asked me to research but no immediate plans
donnawood@example.org,+91 6786895628,39,36-45,745,Single Parent,1406545.08,High,Expansion plans require robust solution like yours
kimberly37@example.org,+91 6590126148,55,46-55,717,Married,1053989.96,Low,Need references from similar companies in our industry
cooperchristopher@example.org,+91 9865989304,41,36-45,743,Married with Children,1445723.18,High,"Need urgent solution for my project, can we fast-track this?"
marymullins@example.com,+91 6328610124,38,36-45,450,Married with Children,2613635.85,Low,"Student/researcher, mainly interested in learning"
cyoung@example.net,+91 6000466905,29,26-35,773,Married,1092687.69,Low,"Evaluating multiple solutions, yours is in top 3 contenders"
jasonnavarro@example.com,+91 9682770494,63,56-65,820,Married,1510774.15,High,Looking for high-quality solutions for my business needs
maykarla@example.org,+91 7505017580,54,46-55,742,Married with Children,1212016.67,High,"Looking for long-term partnership, not just one-time purchase"
